query graph:0    data graph:0
============================================================
(0, 113) (1, 42) (2, 7) (3, 14) (4, 44) 
(0, 113) (1, 42) (2, 7) (3, 14) (4, 1117) 
(0, 113) (1, 42) (2, 7) (3, 41) (4, 44) 
(0, 113) (1, 42) (2, 7) (3, 41) (4, 1117) 
(0, 113) (1, 42) (2, 7) (3, 55) (4, 44) 
(0, 113) (1, 42) (2, 7) (3, 55) (4, 1117) 
(0, 113) (1, 42) (2, 7) (3, 1132) (4, 44) 
(0, 113) (1, 42) (2, 7) (3, 1132) (4, 1117) 
(0, 113) (1, 949) (2, 7) (3, 36) (4, 44) 
(0, 113) (1, 949) (2, 7) (3, 36) (4, 1117) 
(0, 113) (1, 949) (2, 7) (3, 41) (4, 44) 
(0, 113) (1, 949) (2, 7) (3, 41) (4, 1117) 
(0, 363) (1, 105) (2, 7) (3, 14) (4, 44) 
(0, 363) (1, 105) (2, 7) (3, 14) (4, 371) 
(0, 363) (1, 105) (2, 7) (3, 408) (4, 44) 
(0, 363) (1, 105) (2, 7) (3, 408) (4, 371) 
(0, 363) (1, 105) (2, 7) (3, 913) (4, 44) 
(0, 363) (1, 105) (2, 7) (3, 913) (4, 371) 
(0, 493) (1, 42) (2, 7) (3, 14) (4, 1668) 
(0, 493) (1, 42) (2, 7) (3, 41) (4, 1668) 
(0, 493) (1, 42) (2, 7) (3, 55) (4, 1668) 
(0, 493) (1, 42) (2, 7) (3, 1132) (4, 1668) 
(0, 1344) (1, 87) (2, 7) (3, 408) (4, 186) 
(0, 1344) (1, 87) (2, 7) (3, 408) (4, 370) 
(0, 1344) (1, 87) (2, 7) (3, 410) (4, 186) 
(0, 1344) (1, 87) (2, 7) (3, 410) (4, 370) 
(0, 1344) (1, 87) (2, 7) (3, 686) (4, 186) 
(0, 1344) (1, 87) (2, 7) (3, 686) (4, 370) 
(0, 1344) (1, 87) (2, 7) (3, 913) (4, 186) 
(0, 1344) (1, 87) (2, 7) (3, 913) (4, 370) 
(0, 1344) (1, 87) (2, 7) (3, 958) (4, 186) 
(0, 1344) (1, 87) (2, 7) (3, 958) (4, 370) 
(0, 1344) (1, 87) (2, 7) (3, 1194) (4, 186) 
(0, 1344) (1, 87) (2, 7) (3, 1194) (4, 370) 
(0, 1635) (1, 38) (2, 7) (3, 14) (4, 76) 
(0, 1635) (1, 38) (2, 7) (3, 14) (4, 85) 
(0, 1635) (1, 38) (2, 7) (3, 14) (4, 88) 
(0, 1635) (1, 38) (2, 7) (3, 41) (4, 76) 
(0, 1635) (1, 38) (2, 7) (3, 41) (4, 85) 
(0, 1635) (1, 38) (2, 7) (3, 41) (4, 88) 
(0, 1635) (1, 38) (2, 7) (3, 55) (4, 76) 
(0, 1635) (1, 38) (2, 7) (3, 55) (4, 85) 
(0, 1635) (1, 38) (2, 7) (3, 55) (4, 88) 
(0, 1635) (1, 38) (2, 7) (3, 408) (4, 76) 
(0, 1635) (1, 38) (2, 7) (3, 408) (4, 85) 
(0, 1635) (1, 38) (2, 7) (3, 408) (4, 88) 
(0, 1635) (1, 38) (2, 7) (3, 913) (4, 76) 
(0, 1635) (1, 38) (2, 7) (3, 913) (4, 85) 
(0, 1635) (1, 38) (2, 7) (3, 913) (4, 88) 
(0, 1635) (1, 38) (2, 7) (3, 1093) (4, 76) 
(0, 1635) (1, 38) (2, 7) (3, 1093) (4, 85) 
(0, 1635) (1, 38) (2, 7) (3, 1093) (4, 88) 
(0, 1635) (1, 38) (2, 7) (3, 1194) (4, 76) 
(0, 1635) (1, 38) (2, 7) (3, 1194) (4, 85) 
(0, 1635) (1, 38) (2, 7) (3, 1194) (4, 88) 
(0, 1635) (1, 126) (2, 7) (3, 36) (4, 76) 
(0, 1635) (1, 126) (2, 7) (3, 36) (4, 85) 
(0, 1635) (1, 126) (2, 7) (3, 36) (4, 88) 
(0, 1635) (1, 126) (2, 7) (3, 55) (4, 76) 
(0, 1635) (1, 126) (2, 7) (3, 55) (4, 85) 
(0, 1635) (1, 126) (2, 7) (3, 55) (4, 88) 
(0, 1635) (1, 126) (2, 7) (3, 408) (4, 76) 
(0, 1635) (1, 126) (2, 7) (3, 408) (4, 85) 
(0, 1635) (1, 126) (2, 7) (3, 408) (4, 88) 
